,Open,Open,Open,Open,Open,Close,Close,Close,Close,Close,Low,Low,Low,Low,Low,High,High,High,High,High,Volume,Volume,Volume,Volume,Volume
,MSE,Precision,Recall,F1,Accuracy,MSE,Precision,Recall,F1,Accuracy,MSE,Precision,Recall,F1,Accuracy,MSE,Precision,Recall,F1,Accuracy,MSE,Precision,Recall,F1,Accuracy
Ticker,,,,,,,,,,,,,,,,,,,,,,,,,
AAPL,10.379968,0.424695,0.402778,0.364984,0.561404,10.690281,0.297619,0.299835,0.289495,0.438596,10.482288,0.377778,0.363333,0.321212,0.508772,14.559836,0.392593,0.37284,0.339947,0.54386,1904793732313076.8,0.439744,0.367406,0.303431,0.54386
AMD,29.506822,0.420918,0.37973,0.287279,0.45614,36.985578,0.424901,0.392583,0.336232,0.526316,36.98445,0.506667,0.408602,0.350877,0.578947,34.354926,0.421569,0.36786,0.281532,0.473684,1221498508622482.2,0.152047,0.333333,0.208835,0.45614
AMTX,0.108797,0.513333,0.413793,0.363396,0.596491,0.058516,0.388889,0.402778,0.360269,0.54386,0.125017,0.448718,0.380952,0.254762,0.403509,0.09513,0.5,0.430108,0.372222,0.578947,1070453925510.7544,0.5,0.40625,0.34188,0.561404
AMZN,11.264524,0.54386,0.534392,0.538288,0.824561,17.80248,0.430556,0.386364,0.368126,0.631579,12.329254,0.463636,0.468919,0.465608,0.719298,15.503938,0.5169,0.465909,0.466596,0.736842,580772289745039.5,0.368881,0.358561,0.34188,0.561404
BE,5.426228,0.454268,0.436364,0.394647,0.596491,9.749658,0.328063,0.331481,0.260907,0.403509,6.65011,0.344762,0.339031,0.229327,0.368421,8.265858,0.379365,0.371693,0.323685,0.491228,40427657540180.77,0.44289,0.411667,0.403509,0.649123
BN,0.452202,0.528395,0.529363,0.526273,0.789474,1.267621,0.366097,0.361869,0.344532,0.526316,0.843027,0.491228,0.474074,0.463841,0.701754,0.720054,0.471867,0.466749,0.465608,0.701754,6327282871922.28,0.169591,0.333333,0.224806,0.508772
CEG,47.942251,0.571225,0.540529,0.54329,0.824561,76.832996,0.31773,0.324167,0.2956,0.526316,86.77828,0.428105,0.369949,0.289915,0.491228,53.746456,0.467178,0.463193,0.463841,0.701754,5613968660830.123,0.494048,0.344444,0.238373,0.491228
CLNE,0.004723,0.522746,0.538324,0.518239,0.77193,0.012067,0.301871,0.323048,0.281183,0.508772,0.005886,0.566545,0.467669,0.470818,0.526316,0.010028,0.334656,0.344444,0.336847,0.508772,2298719356404.14,0.47534,0.401888,0.359892,0.596491
COP,2.916874,0.482883,0.469622,0.463841,0.701754,4.237379,0.315681,0.315681,0.315681,0.473684,3.932985,0.383638,0.375,0.344532,0.526316,3.953227,0.428775,0.416049,0.402778,0.614035,65432511693388.49,0.163743,0.333333,0.219608,0.491228
CSCO,5.384144,0.464286,0.342857,0.206553,0.403509,6.165392,0.157895,0.333333,0.214286,0.473684,5.376882,0.482143,0.344086,0.226595,0.45614,5.837777,0.128655,0.333333,0.185654,0.385965,184457623319173.47,0.166667,0.321839,0.219608,0.491228
CWEN,0.351628,0.534884,0.494253,0.468262,0.701754,0.417584,0.205882,0.285304,0.21314,0.421053,0.610512,0.134503,0.333333,0.191667,0.403509,0.397923,0.282857,0.312258,0.239298,0.421053,140888271830.61404,0.350877,0.348933,0.340849,0.526316
DVN,1.544968,0.511905,0.345679,0.256368,0.54386,3.827632,0.175439,0.333333,0.229885,0.526316,1.355948,0.181287,0.333333,0.234848,0.54386,2.176567,0.175439,0.333333,0.229885,0.526316,17956979553324.613,0.346078,0.344167,0.32067,0.491228
ED,1.198519,0.492593,0.440033,0.429825,0.684211,1.14606,0.329787,0.331281,0.289915,0.491228,1.489785,0.473856,0.386683,0.348069,0.614035,1.143997,0.398582,0.381075,0.353602,0.596491,1192269647636.386,0.518519,0.37037,0.304762,0.578947
ENB,0.30083,0.517007,0.425287,0.380986,0.614035,0.390012,0.494048,0.344444,0.238373,0.491228,0.367454,0.5,0.388889,0.31746,0.54386,0.371182,0.157895,0.333333,0.214286,0.473684,4503918637325.93,0.395325,0.383415,0.370563,0.578947
FSLR,47.70761,0.532917,0.531431,0.526273,0.789474,75.89126,0.369048,0.366832,0.364984,0.561404,55.766206,0.351806,0.357639,0.352411,0.526316,73.105946,0.342172,0.341975,0.338272,0.508772,8760326450176.333,0.38018,0.376026,0.368394,0.561404
GOOGL,15.650329,0.488095,0.420578,0.419466,0.719298,21.77373,0.204678,0.333333,0.253623,0.614035,17.001557,0.390909,0.342105,0.296979,0.666667,22.017684,0.425926,0.352515,0.301282,0.614035,820593229338324.2,0.181287,0.333333,0.234848,0.54386
GPN,50.712442,0.192982,0.333333,0.244444,0.578947,63.867418,0.163743,0.333333,0.219608,0.491228,46.55497,0.204678,0.333333,0.253623,0.614035,57.646783,0.163743,0.333333,0.219608,0.491228,107268013933204.23,0.152047,0.333333,0.208835,0.45614
IBM,153.722547,0.494048,0.344444,0.238373,0.491228,180.541471,0.169591,0.333333,0.224806,0.508772,176.63523,0.128655,0.333333,0.185654,0.385965,143.418809,0.128655,0.333333,0.185654,0.385965,97192900336946.38,0.146199,0.333333,0.203252,0.438596
INTC,3.986595,0.52381,0.347222,0.269091,0.578947,5.259818,0.181287,0.333333,0.234848,0.54386,3.800097,0.210526,0.333333,0.258065,0.631579,4.598944,0.169591,0.333333,0.224806,0.508772,3839286794299196.0,0.163743,0.333333,0.219608,0.491228
INTU,162.167141,0.461667,0.460711,0.456076,0.684211,204.80333,0.303896,0.309524,0.302646,0.45614,222.902926,0.388889,0.376758,0.35081,0.54386,158.293216,0.375309,0.375309,0.374269,0.561404,1164087761552.5964,0.461735,0.395782,0.34188,0.561404
MCHP,2.619154,0.43507,0.434568,0.432677,0.649123,4.094321,0.359649,0.35679,0.35081,0.54386,3.006311,0.452685,0.45,0.450758,0.684211,3.871093,0.371605,0.372475,0.370993,0.561404,951377939415853.6,0.169591,0.333333,0.224806,0.508772
META,342.953759,0.505674,0.433333,0.413244,0.666667,363.976944,0.35,0.3445,0.30571,0.491228,316.686931,0.422222,0.392887,0.377193,0.614035,511.711906,0.439744,0.367406,0.303431,0.54386,512992472862815.6,0.146199,0.333333,0.203252,0.438596
MNTK,0.772723,0.146199,0.333333,0.203252,0.438596,0.732851,0.163743,0.333333,0.219608,0.491228,0.689372,0.163743,0.333333,0.219608,0.491228,0.769372,0.146199,0.333333,0.203252,0.438596,6435875369380.123,0.494048,0.344444,0.238373,0.491228
MPC,31.152254,0.482143,0.34375,0.225963,0.45614,32.014065,0.116959,0.333333,0.17316,0.350877,39.816235,0.134503,0.333333,0.191667,0.403509,32.667037,0.146199,0.333333,0.203252,0.438596,2281320435867586.0,0.47037,0.424466,0.400045,0.631579
